Interval,NegativeCount,NegativeFrequency,NegativeDensity,PositiveCount,PositiveFrequency,PositiveDensity
0.00~0.20,40,0.190476,0.952381,37,0.175355,0.876777
0.20~0.40,34,0.161905,0.809524,36,0.170616,0.853081
0.40~0.60,31,0.147619,0.738095,29,0.137441,0.687204
0.60~0.80,25,0.119048,0.595238,27,0.127962,0.639810
0.80~1.00,20,0.095238,0.476190,18,0.085308,0.426540
1.00~1.20,16,0.076190,0.380952,17,0.080569,0.402844
1.20~1.40,14,0.066667,0.333333,13,0.061611,0.308057
1.40~1.60,9,0.042857,0.214286,10,0.047393,0.236967
1.60~1.80,7,0.033333,0.166667,8,0.037915,0.189573
1.80~2.00,5,0.023810,0.119048,7,0.033175,0.165877
2.00~2.20,6,0.028571,0.142857,4,0.018957,0.094787
2.20~2.40,2,0.009524,0.047619,3,0.014218,0.071090
2.40~2.60,1,0.004762,0.023810,2,0.009479,0.047393
>2.60,0,0.000000,0.000000,0,0.000000,0.000000

NegativeTotal,210
PositiveTotal,211
NegativeFrequencySum,1.000000
PositiveFrequencySum,1.000000
